Basin,HUC8,HUC8 Name,Report Year,Report Month,Component Type,Component ID,Component Name,Component Volume,Component NEP
San Juan-Dolores,14080104,Animas,2018,2,ForecastedRunoff,09361500,ANIMAS RIVER AT DURANGO,180000.00,5.42
San Juan-Dolores,14080104,Animas,2018,2,ForecastedRunoff,09363100,FLORIDA RIVER INFLOW TO LEMON RESERVOIR,20000.00,4.89
San Juan-Dolores,14080104,Animas,2018,2,ReservoirStorage,09009070,LEMON RESERVOIR,18621.00,39.11
San Juan-Dolores,14080105,Middle San Juan,2018,2,ForecastedRunoff,09365500,LA PLATA RIVER AT HESPERUS,7600.00,6.33
San Juan-Dolores,14080105,Middle San Juan,2018,2,ReservoirStorage,LONRESCO,LONG HOLLOW RESERVOIR,1749.00,50.00
San Juan-Dolores,14080107,Mancos,2018,2,ForecastedRunoff,09370500,MANCOS RIVER NEAR MANCOS,10800.00,5.84
San Juan-Dolores,14080107,Mancos,2018,2,ReservoirStorage,09009050,JACKSON GULCH RESERVOIR,5226.00,65.63
South Platte,10190001,South Platte Headwater,2018,2,ForecastedRunoff,06695500,ELEVENMILE CANYON RESV INFLOW,38000.00,23.73
South Platte,10190001,South Platte Headwater,2018,2,ReservoirStorage,06016010,ANTERO RESERVOIR,20300.00,94.78
South Platte,10190001,South Platte Headwater,2018,2,ReservoirStorage,06016100,ELEVENMILE CANYON RESERVOIR,99800.00,91.51
South Platte,10190001,South Platte Headwater,2018,2,ReservoirStorage,16016025,SPINNEY MOUNTAIN RESERVOIR,35800.00,83.20
South Platte,10190002,Upper South Platte,2018,2,ForecastedRunoff,06707500,SOUTH PLATTE RIVER AT SOUTH PLATTE,120000.00,17.09
South Platte,10190002,Upper South Platte,2018,2,ReservoirStorage,06016080,CHEESMAN LAKE,70956.00,75.07
South Platte,10190002,Upper South Platte,2018,2,ReservoirStorage,09009020,DILLON RESERVOIR,235100.00,89.80
South Platte,10190003,Middle South Platte-Cherry Creek,2018,2,ForecastedRunoff,06707500,SOUTH PLATTE RIVER AT SOUTH PLATTE,120000.00,17.09
