"","basin","report_year","report_month","swsi","nep","swsi_previous_month","change_from_previous_month","swsi_previous_year","change_from_previous_year"
"280","Yampa-White",2014,1,-0.36,45.73,3.18,-3.54,-1.87,1.51
"281","Arkansas",2014,2,-0.22,47.41,-0.42,0.2,-2.36,2.14
"282","Colorado",2014,2,1.23,64.77,-0.54,1.77,-3.24,4.47
"283","Gunnison",2014,2,-0.33,45.99,-0.47,0.14,-3.32,2.99
"284","Rio Grande",2014,2,-0.92,38.95,-0.31,-0.61,-1.81,0.89
"285","San Juan-Dolores",2014,2,-0.72,41.42,-0.23,-0.49,-2.22,1.5
"286","South Platte",2014,2,1.36,66.34,1,0.36,-3.77,5.13
"287","Yampa-White",2014,2,0.25,53.03,-0.36,0.61,-2.42,2.67
"288","Arkansas",2014,3,-0.26,46.88,-0.22,-0.04,-2.38,2.12
"289","Colorado",2014,3,2.26,77.1,1.23,1.03,-3.44,5.7
"290","Gunnison",2014,3,0.85,60.23,-0.33,1.18,-3.62,4.47
"291","Rio Grande",2014,3,-0.93,38.86,-0.92,-0.01,-2.09,1.16
"292","San Juan-Dolores",2014,3,-0.67,41.96,-0.72,0.04,-2.65,1.98
"293","South Platte",2014,3,2.04,74.54,1.36,0.68,-3.7,5.74
"294","Yampa-White",2014,3,0.75,59.01,0.25,0.5,-2.61,3.36
"295","Arkansas",2014,4,-0.51,43.87,-0.26,-0.25,-2.68,2.17
"296","Colorado",2014,4,2.45,79.36,2.26,0.19,-3.54,5.99
"297","Gunnison",2014,4,1.16,63.95,0.85,0.31,-3.73,4.89
"298","Rio Grande",2014,4,-1.3,34.42,-0.93,-0.37,-3.52,2.22
"299","San Juan-Dolores",2014,4,-1.22,35.31,-0.67,-0.55,-3.01,1.79
"300","South Platte",2014,4,1.8,71.57,2.04,-0.24,-3.74,5.54
"301","Yampa-White",2014,4,2.06,74.7,0.75,1.31,-3.26,5.32
"302","Arkansas",2014,5,-0.69,41.7,-0.51,-0.18,-2.34,1.65
"303","Colorado",2014,5,1.94,73.27,2.45,-0.51,-1.83,3.77
"304","Gunnison",2014,5,0.23,52.74,1.16,-0.93,-3.38,3.61
"305","Rio Grande",2014,5,-1.27,34.73,-1.3,0.03,-3.7,2.43
"306","San Juan-Dolores",2014,5,-1.89,27.36,-1.22,-0.67,-3.07,1.18
"307","South Platte",2014,5,1.15,63.84,1.8,-0.65,-2.77,3.92
"308","Yampa-White",2014,5,3.03,86.38,2.06,0.97,-1.82,4.85
"309","Arkansas",2014,6,-0.04,49.49,-0.69,0.65,-2.73,2.69
"310","Colorado",2014,6,4.04,98.51,1.94,2.1,-1.3,5.34
"311","Gunnison",2014,6,3.61,93.36,0.23,3.38,-3.5,7.11
"312","Rio Grande",2014,6,-2.54,19.56,-1.27,-1.27,-1.91,-0.63
"313","San Juan-Dolores",2014,6,1.23,64.73,-1.89,3.12,-2.56,3.79
"314","South Platte",2014,6,3.72,94.64,1.15,2.57,-1.46,5.18
"315","Yampa-White",2014,6,1.44,67.25,3.03,-1.59,1.78,-0.34
"316","Arkansas",2014,7,-0.09,48.98,-0.04,-0.05,-2.3,2.21
"317","Colorado",2014,7,3.01,86.12,4.04,-1.03,-1.6,4.61
"318","Gunnison",2014,7,0.9,60.77,3.61,-2.71,-3.53,4.43
"319","Rio Grande",2014,7,-0.67,41.93,-2.54,1.87,-3.66,2.99
"320","San Juan-Dolores",2014,7,-1.6,30.8,1.23,-2.83,-3.26,1.66
"321","South Platte",2014,7,3.07,86.85,3.72,-0.65,-2.95,6.02
"322","Yampa-White",2014,7,0.13,51.57,1.44,-1.31,-2.17,2.3
"323","Arkansas",2014,8,0.05,50.63,-0.09,0.14,-2.42,2.47
"324","Colorado",2014,8,0.61,57.31,3.01,-2.4,-2.52,3.13
"325","Gunnison",2014,8,-0.59,42.91,0.9,-1.49,-3.58,2.99
"326","Rio Grande",2014,8,-0.32,46.12,-0.67,0.35,-3.26,2.94
"327","San Juan-Dolores",2014,8,-1.58,31.08,-1.6,0.02,-2.66,1.08
"328","South Platte",2014,8,3.65,93.77,3.07,0.58,-2.54,6.19
"329","Yampa-White",2014,8,0.45,55.37,0.13,0.32,-2.3,2.75
"330","Arkansas",2014,9,0.39,54.69,0.05,0.34,-1.74,2.13
"331","Colorado",2014,9,2.43,79.19,0.61,1.82,-2.66,5.09
"332","Gunnison",2014,9,-1,37.97,-0.59,-0.41,-3.41,2.41
"333","Rio Grande",2014,9,-0.38,45.46,-0.32,-0.06,-0.63,0.25
"334","San Juan-Dolores",2014,9,-0.24,47.16,-1.58,1.34,-1.48,1.24
