abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"BOCBGRCO","=""02/15/1987 00:00""","81.4","cfs","","","=""02/15/1987 23:45""",
"BOCBGRCO","=""02/16/1987 00:00""","81.4","cfs","","","=""02/16/1987 23:45""",
"BOCBGRCO","=""02/17/1987 00:00""","81.4","cfs","","","=""02/17/1987 23:45""",
"BOCBGRCO","=""02/18/1987 00:00""","85.1","cfs","","","=""02/18/1987 23:45""",
"BOCBGRCO","=""02/19/1987 00:00""","87.2","cfs","","","=""02/19/1987 23:45""",
"BOCBGRCO","=""02/20/1987 00:00""","87.2","cfs","","","=""02/20/1987 23:45""",
"BOCBGRCO","=""02/21/1987 00:00""","87.2","cfs","","","=""02/21/1987 23:45""",
"BOCBGRCO","=""02/22/1987 00:00""","87.2","cfs","","","=""02/22/1987 23:45""",
"BOCBGRCO","=""02/23/1987 00:00""","87.2","cfs","","","=""02/23/1987 23:45""",
"BOCBGRCO","=""02/24/1987 00:00""","87.2","cfs","","","=""02/24/1987 23:45""",
"BOCBGRCO","=""02/25/1987 00:00""","90","cfs","","","=""02/25/1987 23:45""",
"BOCBGRCO","=""02/26/1987 00:00""","91.7","cfs","","","=""02/26/1987 23:45""",
"BOCBGRCO","=""02/27/1987 00:00""","91.7","cfs","","","=""02/27/1987 23:45""",
"BOCBGRCO","=""02/28/1987 00:00""","","cfs","","","",
"BOCBGRCO","=""03/01/1987 00:00""","91.7","cfs","","","=""03/01/1987 23:45""",
"BOCBGRCO","=""03/02/1987 00:00""","94.6","cfs","","","=""03/02/1987 23:45""",
"BOCBGRCO","=""03/03/1987 00:00""","95.6","cfs","","","=""03/03/1987 23:45""",
"BOCBGRCO","=""03/04/1987 00:00""","94.9","cfs","","","=""03/04/1987 23:00""",
"BOCBGRCO","=""03/05/1987 00:00""","95.6","cfs","","","=""03/05/1987 23:45""",
"BOCBGRCO","=""03/06/1987 00:00""","96.2","cfs","","","=""03/06/1987 23:45""",
"BOCBGRCO","=""03/07/1987 00:00""","96.2","cfs","","","=""03/07/1987 23:45""",
"BOCBGRCO","=""03/08/1987 00:00""","96.2","cfs","","","=""03/08/1987 23:45""",
"BOCBGRCO","=""03/09/1987 00:00""","96.2","cfs","","","=""03/09/1987 23:45""",
"BOCBGRCO","=""03/10/1987 00:00""","96.2","cfs","","","=""03/10/1987 23:45""",
"BOCBGRCO","=""03/11/1987 00:00""","96.2","cfs","","","=""03/11/1987 23:45""",
"BOCBGRCO","=""03/12/1987 00:00""","96.2","cfs","","","=""03/12/1987 23:45""",
"BOCBGRCO","=""03/13/1987 00:00""","96.2","cfs","","","=""03/13/1987 23:45""",
"BOCBGRCO","=""03/14/1987 00:00""","95.2","cfs","","","=""03/14/1987 23:45""",
"BOCBGRCO","=""03/15/1987 00:00""","96.2","cfs","","","=""03/15/1987 23:45""",
"BOCBGRCO","=""03/16/1987 00:00""","97.9","cfs","","","=""03/16/1987 19:00""",
"BOCBGRCO","=""03/17/1987 00:00""","98.2","cfs","","","=""03/17/1987 23:45""",
"BOCBGRCO","=""03/18/1987 00:00""","97.7","cfs","","","=""03/18/1987 23:45""",
"BOCBGRCO","=""03/19/1987 00:00""","97.7","cfs","","","=""03/19/1987 23:45""",
"BOCBGRCO","=""03/20/1987 00:00""","73.2","cfs","","","=""03/20/1987 23:45""",
"BOCBGRCO","=""03/21/1987 00:00""","99.3","cfs","","","=""03/21/1987 23:45""",
"BOCBGRCO","=""03/22/1987 00:00""","99.3","cfs","","","=""03/22/1987 23:45""",
"BOCBGRCO","=""03/23/1987 00:00""","99.3","cfs","","","=""03/23/1987 23:45""",
"BOCBGRCO","=""03/24/1987 00:00""","99.3","cfs","","","=""03/24/1987 23:45""",
"BOCBGRCO","=""03/25/1987 00:00""","92.6","cfs","","","=""03/25/1987 23:45""",
"BOCBGRCO","=""03/26/1987 00:00""","88.7","cfs","","","=""03/26/1987 23:45""",
"BOCBGRCO","=""03/27/1987 00:00""","88.7","cfs","","","=""03/27/1987 23:45""",
"BOCBGRCO","=""03/28/1987 00:00""","88.7","cfs","","","=""03/28/1987 23:45""",
"BOCBGRCO","=""03/29/1987 00:00""","88.7","cfs","","","=""03/29/1987 23:45""",
"BOCBGRCO","=""03/30/1987 00:00""","88.7","cfs","","","=""03/30/1987 23:45""",
"BOCBGRCO","=""03/31/1987 00:00""","88.4","cfs","","","=""03/31/1987 23:45""",
"BOCBGRCO","=""04/01/1987 00:00""","88.6","cfs","","","=""04/01/1987 23:45""",
"BOCBGRCO","=""04/02/1987 00:00""","93.2","cfs","","Obs*","=""04/02/1987 23:00""",
"BOCBGRCO","=""04/03/1987 00:00""","96.2","cfs","","","=""04/03/1987 23:45""",
"BOCBGRCO","=""04/04/1987 00:00""","96.2","cfs","","","=""04/04/1987 23:45""",
"BOCBGRCO","=""04/05/1987 00:00""","96.2","cfs","","","=""04/05/1987 23:45""",
"BOCBGRCO","=""04/06/1987 00:00""","47.5","cfs","","","=""04/06/1987 23:45""",
"BOCBGRCO","=""04/07/1987 00:00""","29.2","cfs","","","=""04/07/1987 23:45""",
"BOCBGRCO","=""04/08/1987 00:00""","35.3","cfs","","","=""04/08/1987 23:45""",
"BOCBGRCO","=""04/09/1987 00:00""","38.1","cfs","","","=""04/09/1987 23:45""",
